51,71,96,48,19,6,84,27,53,48,7,59,69,11,15,64,3,69,23,53,37,9,15,3,93,70,17,26,21,72,21,11,38,72,88,35,14,14,10,12,38,34,41,10,17,17,67,62,95,1,12,4,42,13,98,85,86,4,82,69,19,2,12,81,74,98,6,8,51,11,63,57,12,73,2,8,11,53,100,10,85,84,8,36,93,76,14,54,85,86,21,50,94,39,20,88,87,7,9,1
26,38,38,61,44,86,44,74,62,6,17,51,38,24,51,10,72,21,70,85,57,39,88,33,59,18,56,92,57,96,76,48,42,27,74,52,42,32,26,25,75,23,98,57,52,87,93,31,64,71,33,85,2,18,47,33,98,84,35,51,18,88,72,30,44,53,10,87,52,49,11,66,58,90,36,33,47,13,40,89,68,42,19,82,94,19,58,23,54,80,65,12,24,34,53,8,18,57,5,26
30,54,13,83,29,3,90,58,76,2,75,28,82,77,86,76,2,7,26,90,88,76,16,23,40,60,73,32,15,13,5,75,74,52,77,41,53,50,15,7,40,28,32,99,15,100,85,70,65,4,11,26,61,37,23,93,85,91,40,77,23,16,94,61,68,80,31,53,25,44,12,90,97,92,9,12,69,54,54,28,56,99,69,98,98,77,58,78,75,42,38,68,53,33,71,56,72,51,74,43
15,38,15,5,93,83,54,51,10,12,4,95,18,80,36,25,87,76,98,36,67,9,61,53,18,43,35,63,98,78,4,93,41,45,50,79,28,42,80,76,69,98,1,39,96,90,17,91,88,35,46,42,39,90,49,62,38,23,22,4,49,59,73,68,71,87,2,49,88,95,31,40,48,51,43,98,55,88,49,90,80,57,77,15,27,68,80,64,94,30,36,67,86,86,49,76,55,85,56,68
95,44,31,58,87,53,84,79,23,28,16,37,21,79,17,37,77,19,30,45,18,78,62,36,100,84,52,19,44,7,44,68,34,66,69,55,10,96,42,41,77,69,10,10,91,60,51,21,8,65,92,78,85,30,85,49,9,17,69,58,57,62,95,52,61,40,38,43,63,19,100,50,33,13,78,97,62,93,43,49,36,10,95,6,57,1,71,58,91,21,92,80,56,87,20,54,25,28,5,21
18,47,70,57,93,19,97,65,3,42,21,99,40,67,25,55,84,52,44,98,85,56,55,87,70,77,87,73,81,66,19,83,7,63,42,42,59,20,73,17,27,47,2,63,62,100,19,17,69,39,82,71,81,39,36,40,45,4,25,69,30,76,68,88,29,73,68,51,24,14,69,18,42,57,83,12,82,17,30,88,75,99,23,81,1,79,32,9,15,28,24,60,35,86,27,83,76,20,65,85
49,1,10,47,59,96,62,86,18,46,32,27,92,18,39,49,93,82,44,72,54,95,34,71,36,18,38,59,9,73,72,51,35,82,5,14,92,30,4,39,84,64,25,28,76,66,78,22,31,23,48,20,38,55,68,79,88,89,1,7,57,95,12,5,50,42,12,18,66,74,79,94,17,68,71,62,41,95,34,70,45,58,51,34,44,15,78,70,50,32,67,3,86,86,74,51,67,76,93,48
17,7,13,66,4,10,88,17,52,6,83,69,96,74,9,91,77,83,21,24,4,24,59,99,3,68,40,48,54,35,95,56,89,40,77,68,46,78,13,27,6,17,36,99,81,2,77,52,66,52,92,43,90,22,55,67,99,60,58,12,88,69,84,39,13,41,57,53,12,13,74,97,57,40,80,45,35,3,5,90,11,71,56,10,34,67,72,31,75,71,66,70,41,63,32,20,57,98,50,80
25,12,71,39,17,45,11,70,23,91,70,38,2,86,84,89,79,93,72,37,49,52,33,22,5,18,38,37,94,95,64,10,79,42,48,44,82,87,97,16,54,35,98,28,2,94,13,41,80,59,69,92,53,45,20,24,61,91,94,58,27,26,7,42,47,53,59,38,69,87,92,98,53,15,96,26,48,95,19,9,64,93,54,51,39,4,3,64,29,11,97,58,75,27,97,21,39,95,46,66
91,36,75,82,65,63,99,35,31,28,1,25,43,84,67,63,51,2,82,64,74,69,9,2,34,60,61,31,10,76,36,85,49,70,49,3,74,5,90,61,85,90,26,72,5,15,16,1,16,37,3,52,47,95,13,80,55,21,66,54,27,38,90,58,62,46,89,11,72,8,97,71,64,21,72,63,85,64,20,8,58,46,31,93,9,15,94,26,10,29,80,36,84,37,86,71,23,41,93,80
28,48,38,31,14,97,73,91,88,77,90,29,51,49,43,92,92,72,87,93,5,42,7,42,36,27,58,46,66,25,73,27,1,87,74,42,52,25,54,67,6,58,70,53,66,58,82,87,2,76,22,37,20,24,84,65,65,81,1,94,3,46,55,75,88,86,64,45,26,77,65,24,74,35,24,28,100,80,16,59,81,54,79,16,15,98,11,65,79,90,68,43,69,99,13,10,75,82,98,41
50,87,71,59,39,3,76,7,49,26,33,48,79,2,71,32,4,20,36,32,28,77,1,60,56,35,30,54,36,55,89,80,58,83,65,69,51,22,88,53,100,36,68,36,52,53,82,50,80,41,18,22,66,21,100,44,47,39,29,54,90,85,17,80,60,31,73,95,78,49,2,48,14,59,97,99,58,58,51,84,2,41,83,82,16,4,12,29,7,14,12,99,5,81,32,74,43,81,69,45
9,49,33,100,100,18,9,62,57,29,78,25,15,6,42,29,79,93,4,82,57,49,44,80,75,14,3,62,64,45,82,58,20,58,89,57,77,68,78,97,92,52,37,8,44,98,5,69,31,45,9,32,33,67,30,76,29,3,90,57,30,9,26,2,62,3,46,68,25,51,13,44,35,55,87,9,2,61,41,44,64,31,47,2,96,82,77,69,58,44,74,56,43,89,34,30,71,70,55,67
13,3,26,57,24,53,70,43,60,58,49,42,76,100,66,11,98,90,18,85,100,52,46,44,22,53,59,94,30,8,98,57,73,20,25,19,5,75,79,72,83,87,27,40,96,26,27,62,83,50,42,29,39,60,41,33,83,83,97,16,23,7,26,96,12,72,5,92,69,49,26,5,22,79,13,28,33,23,97,18,30,26,16,77,39,33,26,48,65,38,2,6,46,50,38,88,18,27,41,72
92,74,17,62,29,58,70,78,22,6,26,39,12,99,14,22,51,23,48,71,50,89,13,85,10,55,9,79,52,2,25,13,98,51,58,34,35,3,59,70,48,64,19,67,82,73,76,5,67,11,94,68,69,1,91,92,63,29,82,12,77,41,2,37,45,80,48,24,99,22,100,11,58,46,29,35,15,60,95,42,43,80,74,49,64,32,64,2,24,87,66,38,31,26,29,67,78,25,48,65
53,67,90,18,9,38,87,21,65,21,27,70,44,100,28,45,17,40,3,76,76,66,46,86,87,30,69,9,85,11,69,99,91,66,88,31,33,39,94,46,37,92,60,31,11,87,2,27,99,2,21,58,5,52,45,85,93,20,61,38,20,25,2,32,26,70,41,67,97,1,51,5,13,19,12,48,25,57,35,76,94,5,98,22,77,57,47,54,3,53,84,31,69,88,33,72,88,50,84,16
76,77,39,89,46,96,88,47,44,9,87,50,77,60,96,15,36,63,69,86,80,41,74,24,82,49,18,7,4,90,69,60,55,16,99,90,82,29,23,14,79,49,33,25,21,17,23,57,81,58,14,93,20,30,19,53,56,77,82,23,62,33,18,73,33,32,61,54,17,19,91,70,99,34,84,25,68,74,74,88,85,11,91,16,90,61,94,80,7,16,99,16,40,12,35,21,50,43,100,17
32,41,6,88,27,20,25,66,9,92,53,61,38,3,84,70,97,55,1,70,45,98,47,79,26,14,54,71,46,31,88,59,95,29,96,17,14,36,58,24,63,91,25,59,32,82,18,37,26,9,99,64,72,20,54,86,83,30,53,92,99,63,11,31,49,100,94,87,19,12,15,31,43,37,79,29,26,2,84,15,4,86,50,38,23,59,90,75,28,66,8,29,11,18,55,50,14,74,99,9
99,11,63,76,67,53,39,78,56,28,75,39,25,21,10,43,15,83,48,86,21,60,96,50,23,13,69,4,92,78,72,9,35,21,58,18,97,72,81,43,95,98,6,86,78,67,12,100,12,66,2,15,23,29,81,96,7,94,28,14,44,30,81,32,70,88,6,27,82,88,24,34,40,47,79,75,86,24,65,18,44,76,57,28,71,23,85,34,11,86,35,93,42,28,82,78,82,92,24,8
53,72,4,91,100,5,97,49,98,30,72,63,47,26,57,37,98,7,40,92,39,62,92,78,53,4,82,25,7,28,69,67,95,20,83,11,67,87,7,23,61,71,34,19,58,9,48,82,41,48,45,25,78,25,19,39,79,80,27,74,63,68,19,28,85,78,33,10,83,30,22,3,82,75,48,2,76,54,6,40,93,94,2,73,2,93,97,74,98,55,72,60,97,6,19,96,27,1,33,40
32,69,17,8,57,42,98,9,87,35,71,79,53,54,84,25,67,62,55,46,24,98,46,22,11,48,8,39,35,49,46,38,8,54,37,91,92,40,34,96,79,17,33,47,52,80,93,9,33,60,93,77,21,58,85,69,10,6,13,65,20,57,46,8,10,73,67,11,12,10,25,49,49,89,11,62,36,39,53,90,78,56,1,56,4,30,12,35,77,52,31,87,68,52,80,7,22,93,75,56
97,58,93,64,12,7,55,62,90,73,98,77,55,36,89,24,44,17,2,13,31,93,28,60,27,15,95,79,33,20,42,12,73,23,72,96,14,91,25,77,85,31,54,5,13,28,43,89,99,47,71,38,96,67,62,39,37,86,8,81,52,91,33,81,42,76,27,8,23,64,93,20,16,17,80,19,8,38,38,53,93,100,90,31,44,60,76,17,79,73,39,42,48,12,96,89,18,79,96,6
